idx	htid	access	rights	ht_rec	enum_chron	source	source_rec	oclc_num	isbn	issn	lccn	title	imprint	rights_code	last_update	gov_doc	pub_date	pub_place	lang	bib_format	coll_code	provider_code	resp_ent_code	dig_agent_code	access_profile	author
13396502	nc01.ark:/13960/t0ht34b8v	allow	pd	10937522		UNC	b4187376	36521501				A fool's errand, by one of the fools.	Fords, Howard, & Hulbert, 1880.	bib	2011-10-25 19:30:06	0	1880.0	nyu	eng	BK	IUNC	unc	unc	ia	open	Tourgée, Albion Winegar, 1838-1905.
13398940	nc01.ark:/13960/t1mg7zs6x	allow	pd	10939080		UNC	b1259998	1260127			02020392	Neither bond nor free. (A plea.) ... By G. Langhorne Pryor ...	J. S. Ogilvie Publishing Company, 1902.	bib	2011-10-25 19:30:08	0	1902.0	nyu	eng	BK	IUNC	unc	unc	ia	open	Pryor, George Langhorne, b. 1857.
16962516	nc01.ark:/13960/t3wt00v24	allow	pd	102402321		UNC	b3010213	28370341				Hanover, or, The persecution of the lowly : a story of the Wilmington massacre / by Jack Thorne.	Published by M.C.L. Hill, [1901]	bib	2018-05-28 03:26:15	0	1901.0	xxu	eng	BK	IUNC	unc	unc	ia	open	Thorne, Jack, 1863?-1941.
13992654	nc01.ark:/13960/t50g4wj3w	allow	pd	12192364		UNC	b2650861	3998085			05023066	The colonel's dream / by Charles W. Chesnutt.	Doubleday, Page & Company, 1905.	bib	2013-02-01 19:30:10	0	1905.0	nyu	eng	BK	IUNC	unc	unc	ia	open	Chesnutt, Charles W. 1858-1932.
13394665	nc01.ark:/13960/t71v64q6w	allow	pd	10936282		UNC	b3433953	4935219				Among the pines, or, South in secession-time / by Edmund Kirke.	Carleton, 1863.	bib	2011-10-25 19:30:28	0	1863.0	nyu	eng	BK	IUNC	unc	unc	ia	open	Gilmore, James R. 1822-1903.
13396499	nc01.ark:/13960/t76t1vt7q	allow	pd	10937521		UNC	b1285726	1459636			08034328	A fool's errand / by one of the fools.	Fords, Howard, & Hulbert, 1879.	bib	2013-01-31 19:53:46	0	1879.0	nyu	eng	BK	IUNC	unc	unc	ia	open	Tourgée, Albion Winegar, 1838-1905.
13987727	nc01.ark:/13960/t7cr7221k	allow	pd	12189053		UNC	b1287881	1477220			00006369	The house behind the cedars, by Charles W. Chesnutt.	Houghton, Mifflin and Company, 1900.	bib	2013-01-31 19:53:51	0	1900.0	mau	eng	BK	IUNC	unc	unc	ia	open	Chesnutt, Charles W. 1858-1932.
13396498	nc01.ark:/13960/t7fr0cr93	allow	pd	10937521		UNC	b1285726	1459636			08034328	A fool's errand / by one of the fools.	Fords, Howard, & Hulbert, 1879.	bib	2011-10-25 19:30:29	0	1879.0	nyu	eng	BK	IUNC	unc	unc	ia	open	Tourgée, Albion Winegar, 1838-1905.
9671141	nc01.ark:/13960/t7hq4034d	allow	pd	7655746		UNC	b1926881	10172198				The house behind the cedars / by Charles W. Chesnutt.	Houghton, Mifflin, 1901.	bib	2011-10-25 19:30:29	0	1901.0	mau	eng	BK	IUNC	unc	unc	ia	open	Chesnutt, Charles W. 1858-1932.
3358973	nc01.ark:/13960/t7jq10k79	allow	pd	1027134		UNC	b1209693	939418			01025424	The marrow of tradition / by Charles W. Chesnutt.	Houghton, Mifflin, 1901.	bib	2011-10-25 19:30:29	0	1901	mau	eng	BK	IUNC	unc	unc	ia	open	Chesnutt, Charles W. 1858-1932.
2921071	nc01.ark:/13960/t80k50v5c	allow	pd	731452		UNC	b1360093	2058028			15026847	The forged note : a romance of the darker races / by Oscar Micheaux ... ; illustrated by C.W. Heller.	Western Book Supply Company, 1915.	bib	2018-05-28 03:26:41	0	1915.0	nbu	eng	BK	IUNC	unc	unc	ia	open	Micheaux, Oscar, 1884-1951.
13396503	nc01.ark:/13960/t81j9wt93	allow	pd	10937523		UNC	b1675913	6037504				A fool's errand : a novel : together with part II, The invisible empire : an historical review of the epoch on which this tale is based / by one of the fools, Albion W. Tourgée.	Fords, Howard & Hulbert, c1880.	bib	2011-10-25 19:30:31	0	1880.0	nyu	eng	BK	IUNC	unc	unc	ia	open	Tourgée, Albion Winegar, 1838-1905.
7620655	nc01.ark:/13960/t9f48335q	allow	pd	5946381		UNC	b1238742	1116429			06037250	What answer? By Anna E. Dickinson.	Ticknor and Fields, 1868.	bib	2011-10-25 19:30:35	0	1868.0	mau	eng	BK	IUNC	unc	unc	ia	open	Dickinson, Anna E. 1842-1932.
